transliteration,normalization,sign_names,remarks
A-bi₂-E₂,A.bi₂.E₂[]PN,A NE E₂,Abibitim?
A-bi₂-UD.IŠ,AbiŠamšiš[]PN,A NE UD IŠ,"uncertain; Aegyptus 10, 270 28 o 6 (copy)"
A-bi₂-a,Abiʾa[]PN,A NE A,"hypo?; or, Abiya?"
A-bi₂-a-bi-ih,AbiʾEbih[]PN,A NE A BI |HI×NUN|,
A-bi₂-a-bi₂-ih,AbiʾEbih[]PN,A NE A NE |HI×NUN|,
A-bi₂-a-mu-ti,Abiʾamuti[]PN,A NE A MU TI,
A-bi₂-a-ta,Abiʾa[]PN,A NE A TA,
A-bi₂-a-ti,Abiʾati[]PN,A NE A TI,
A-bi₂-ba-na{ki},Abibana[]SN,A NE BA NA KI,
A-bi₂-šu,Abišu[]PN,A NE ŠU,
A-bi₂-iš-ki-in,Abiškin[]PN,A NE IŠ KI IN,< kânu
A-bi₂-iš-qi₂-il,Abišqil[]PN,A NE IŠ KI IL,< qâlu
A-bi₂-ki-in,Abikin[]PN,A NE KI IN,
A-bi₂-ri-ṣi,Abireṣi[]PN,A NE RI ZE₂,
A-bi₂-si-im-ti,Abisimti[]PN,A NE SI IM TI,
A-bi₂-si₂-im-ti,Abisimti[]PN,A NE ZI IM TI,
A-bi₂-si₂-im-ti-še₃,Abisimti[]PN,A NE ZI IM TI EŠ₂,
A-bi₂-si₂-im-ti-e,Abisimti[]PN,A NE ZI IM TI E,
A-bi₂-si₂-im-ti-ra,Abisimti[]PN,A NE ZI IM TI RA,
A-bi₂-si₂-im-ti-ta,Abisimti[]PN,A NE ZI IM TI TA,
A-bi₂-zu,Abizu[]PN,A NE ZU,
A-bu-DINGIR,Abuʾili[]PN,A BU AN,"or, Abuʾilum"
A-bu-DU₁₀,Abuṭab[]PN,A BU HI,
A-bu-DU₁₀-ta,Abuṭab[]PN,A BU HI TA,
A-bu-ZA,A.bu.ZA[]PN,A BU ZA,
A-bu-bu,Abubu[]PN,A BU BU,
A-bu-da-a,Abuda[]PN,A BU DA A,
A-bu-na,Abuna[]PN,A BU NA,= Abuni?
A-bu-ni,Abuni[]PN,A BU NI,= Abuna?
A-bu-ni-ka,Abuni[]PN,A BU NI KA,
A-bu-ni-ra,Abuni[]PN,A BU NI RA,
A-bu-ni-ta,Abuni[]PN,A BU NI TA,
A-bu-um-DINGIR,Abumilum[]PN,A BU UM AN,"or, Abumili"
A-bu-um-DINGIR-ma,Abumilum[]PN,A BU UM AN MA,
A-bu-um-DINGIR-su₂,Abumilšu[]PN,A BU UM AN ZU,
A-bu-um-še₃,Abum[]PN,A BU UM EŠ₂,
A-bu-um-{d}Dumu-zi,AbumDumuzi[]PN,A BU UM AN TUR ZI,
